hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
Moody Foody,4.1 ,47,"Indian, Maharashtrian, Street Food, Chinese, Pizzas, Fast Food, Burgers, Cafe, Beverages",Kandivali east ,not_available,not_available
BFF- Bombay French Fries,2.9 ,36,"Continental, Desserts, Beverages",Borivali,449,not_available
The Waffle Room,2.8 ,37,"Waffle, Cafe",Kandivali,999,not_available
Quick Meal,4.2 ,36,"Indian, Chinese",Borivali East,not_available,not_available
Eagle Boys Pizza and Cafe,2.5 ,39,"Italian, Pizzas, Burgers, Pastas, Beverages",Borivali west,100,20
Chyna,4.2 ,35,Chinese,Malad Kan East,not_available,not_available
JK Sweets,4.4 ,32,"Sweets, Desserts",Malad West Mumbai,not_available,not_available
Foods Planet,32 mins,,Biryani,Borivali,not_available,not_available
Gangaur Thali,4.4 ,31,"Indian, Thalis",Borivali,not_available,not_available
The Sandwich Zone,4.3 ,33,"Fast Food, Italian, Snacks",Borivali,not_available,not_available
Power Smoothies,4.6 ,33,"Healthy Food, Beverages",Borivali,700,30
Triveni Pan Bhandar,3.3 ,39,"Paan, Desserts",Borivali,not_available,not_available
Vividham Sweets,4.3 ,27,"Sweets, Snacks",Borivali,not_available,not_available
Food Shood,4.7 ,30,"Indian, North Indian, Snacks, Mughlai, Tandoor, Kebabs, Punjabi, Biryani, Chinese, Street Food",Borivali,not_available,not_available
Gigil Brasserie,4.2 ,43,"Italian, Pizzas, Beverages",Borivali West,1000,25
Nirala Gourmet Kitchen,4.1 ,50,"Pizzas, Pastas, Burgers, Snacks",Borivali,120,60
Hotel Sai Prasad Family Restaurant,4 ,52,"North Indian, Chinese, Tandoor, Beverages",Borivali,not_available,not_available
Sarova Bar & Restaurant,4.8 ,42,"Thalis, Chinese, North Indian",Kandivali East,not_available,not_available
Pizza In Town,4.1 ,50,Indian,Dahisar,not_available,not_available
Jay Bhavani Fast Food Center,54 mins,,"Fast Food, North Indian, Chinese, Biryani",Borivali,499,not_available
Raja Chinese Corner,3.6 ,42,Chinese,Borivali,1300,10
Agga Bai,4.6 ,52,Desserts,Borivali,40,10
Golden Delicacy Multicuisine Restaurant,4.3 ,41,"Indian, South Indian, Chinese, Tandoor, Biryani, Snacks, Italian-American, Ice Cream, Beverages",Borivali,not_available,not_available
Bombay Boba,3.2 ,42,Beverages,Kandivali West,not_available,not_available
OM R K Fast Food,4.4 ,42,South Indian,Borivali,not_available,not_available
PLATESS MULTICUISINE RESTAURANT,3 ,47,"Chinese, Indian",Borivali,not_available,not_available
Namak Mirchi,4.3 ,30,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs",Kandivali East,100,50
Mozo Pizzaria,3.6 ,28,"Pizzas, Burgers, Chinese, Desserts, Italian",Behind Annexe Mall,100,50
The Khichdi House,3.3 ,25,"Indian, North Indian, Thalis, Desserts",Malad Kan East,100,50
Tandav Tea Company,3.8 ,29,"Snacks, Beverages",Malad Kan East,40,10
Oven Stories Pizza,3.5 ,33,"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian",Kandivali East,100,50
Creamillaa,4.8 ,19,"Desserts, Ice Cream",Malad Kan East,not_available,not_available
Thakkar Lunch Home,4 ,25,"Indian, Snacks",Kandivali East,50,20
Mama's By Banjara Dhaba Veg,4.1 ,25,"North Indian, Chinese, Fast Food, Snacks, Biryani",Malad Kan East,120,60
Combos & More - The Steal Deal Food Factory,4.1 ,29,"Chinese, Pan-Asian, Thai, Beverages",Kandivali East,not_available,not_available
Hotel Matsyagandha,4.3 ,34,"North Indian, Malwani, Chinese, Seafood, Mangalorean, Tandoor",Kandivali East,not_available,not_available
Love 99,3.9 ,35,"Desserts, Waffle, Beverages, Bakery",Mahavir Nagar,600,15
House Of Combos,34 mins,,"Combo, Continental, Asian",Borivali,not_available,not_available
Ice Cap The Cake Shop,32 mins,,Bakery,Malad Kan East,not_available,not_available
Biryani Lovers,3.4 ,44,"Biryani, Arabian, Tandoor",Malad Kan East,not_available,not_available
Glaciers Cakes And More,28 mins,,Bakery,Malad Kan East,159,25
Happy Moments The Cake Shop,32 mins,,Bakery,Malad Kan East,not_available,not_available
The Dutch Waffles,28 mins,,"Bakery, Desserts",Malad Kan East,not_available,not_available
Chile Ma,24 mins,,"Bakery, Waffle",Malad Kan East,not_available,not_available
Uncle's Kitchenette,28 mins,,"Waffle, Bakery",Malad Kan East,not_available,not_available
De Firrrangi cafe,31 mins,,"Juices, Beverages",Malad Kan East,not_available,not_available
DK's Kitchen,4.4 ,33,"Chinese, Tandoor",Borivali East,not_available,not_available
Bbcc - Borivali Barbeque Chinese Co.,32 mins,,Italian,Malad Kan East,not_available,not_available
Choco Pack,33 mins,,Desserts,Malad Kan East,not_available,not_available
Sandwich Co.,33 mins,,Fast Food,Malad Kan East,not_available,not_available
Vivgato The Live Cake Shop,2.7 ,37,"Bakery, Desserts",Malad Kan East,not_available,not_available
M M Dum Biriyani Centre,4.1 ,34,"Indian, Biryani, Beverages",Borivali,not_available,not_available
Hari Om Snack Bar,3.8 ,37,"Fast Food, Snacks, Indian",Kandivali,not_available,not_available
Jaggu Anna,1.5 ,39,"Fast Food, Kebabs, Snacks",Borivali,not_available,not_available
Signature Premium Cafe & Resto,3.7 ,39,"Pizzas, Fast Food, South Indian, Juices, Snacks",Borivali West,not_available,not_available
Mangalam,4.1 ,37,"Indian, Chinese",Borivali West,not_available,not_available
Chaat Samrat,3.8 ,38,"Chaat, Pizzas, Pastas, Fast Food, Snacks, Burgers",Dahisar,not_available,not_available
Cafe Town,36 mins,,Burgers,Borivali,not_available,not_available
Hotel Aqua Stone RESTO BAR,5 ,38,"Chinese, Snacks, Beverages, North Indian, Kebabs",Dahisar,not_available,not_available
Srijana Momo House,5 ,35,Chinese,Malad Kan East,not_available,not_available
Cafe To Gather,34 mins,,Fast Food,Malad Kan East,999,not_available
Meal In Minutes,34 mins,,"North Indian, Pizzas, Fast Food, Snacks, Beverages",Malad Kan East,100,50
Wanton Point Tadka,4.3 ,34,"Indian, Chinese",Kandivali East,not_available,not_available
Agri Malhari Katta.(Tandoori House),4.3 ,50,"Biryani, Chinese, Tandoor, Kebabs, North Indian, Sweets",Borivali,600,10
Daily 52,5 ,50,Indian,Borivali,not_available,not_available
Culture Kitchen,52 mins,,"Chinese, Snacks",Jog Gor East,not_available,not_available
Golden Plate,3.8 ,55,"Chinese, North Indian, Biryani, Beverages",Dahisar,not_available,not_available
Casa Curry,43 mins,,Burgers,Borivali,not_available,not_available
The Cookie Dough,3.7 ,58,"Snacks, Bakery, Fast Food, Beverages",Malad West,not_available,not_available
What The Wok,4.3 ,43,Chinese,Borivali West,999,not_available
Burgerbook,4.5 ,52,"American, Fast Food",Malad Kan West,not_available,not_available
Kamath Dakshinswaad,4.2 ,47,South Indian,Malad Kan East,not_available,not_available
Shweta's Taatbhar Potbhar,4.1 ,45,"Indian, Biryani",Borivali,749,not_available
Momento Pizza,4.3 ,45,"Pizzas, Italian, Fast Food",Borivali West,not_available,not_available
Brownie Point Malad,41 mins,,Bakery,Malad Kan West,not_available,not_available
Cafe A1,4.1 ,52,"North Indian, Tandoor, Mughlai, Chinese, Fast Food, Desserts, Beverages",Malad Kan West,not_available,not_available
Desi Dawat,44 mins,,Indian,Charkop,not_available,not_available
Slide A Roll,4.1 ,50,Snacks,Malad West,not_available,not_available
Mr Singhs Tandoori Hut by RPD,4.2 ,64,"North Indian, Tandoor, Biryani",Malad West,not_available,not_available
Shree Siddhivinayak juice and snacks centre,4.8 ,44,Fast Food,Dahisar East,not_available,not_available
Kalubai juice center,4.4 ,46,"Beverages, Juices",Borivali,250,50
Dragon Flame Chinese,3.5 ,50,Chinese,Kandivali West,125,25
Ashish Chinese Corner,3.6 ,40,Chinese,kandivalli charkop,not_available,not_available
The Tasty Love,5 ,50,"Chinese, Arabian, Biryani, South Indian",Jog Gor East,999,not_available
Noon Roti - Story of Bihar,3.2 ,49,"Indian, North Indian",KANDIVALI WEST,599,not_available
Preeti Sandwich and juice center,4.2 ,40,"Snacks, Italian, Pizzas, Pastas, Beverages",Mahavir Nagar,900,10
AL-Falah Irani Chai Momos And More,4 ,54,Biryani,Borivali West,not_available,not_available
Baan Khun yay,4.1 ,53,"Chinese, Thai, Desserts",Borivali,999,not_available
Film City Fast Food,3.4 ,58,"Indian, Chinese",Malad Kan East,not_available,not_available
The Bombay Stories,4.3 ,57,"Street Food, Beverages, Fast Food, Pizzas, Pastas",Malad West,100,10
Boneto Fine Dine,4.5 ,59,Indian,Malad Kan East,not_available,not_available
Chhedas,3.7 ,46,"Snacks, Sweets",Jog Gor East,not_available,not_available
Amit Fast Food- Chinese Corner,4.5 ,53,Chinese,Malad West,not_available,not_available
Sai Sarovar,4.4 ,49,"North Indian, Snacks, Chinese",Malad Kan West,not_available,not_available
Thew Pueblo Gourmet - TPG,4.2 ,45,"Snacks, Beverages",Borivali,not_available,not_available
Raza Biryani,3.2 ,60,"Biryani, Kebabs, Tandoor",Malad Kan East,not_available,not_available
New Sam's Kitchen,4.4 ,58,"Indian, Chinese",Goregaon,not_available,not_available
Flavour & Spice,3.7 ,54,"Fast Food, Indian, Tandoor",Borivali,449,not_available
Fishermans Hook,4.1 ,57,"North Indian, Chinese, Seafood",Malad West,not_available,not_available
WEST COAST DINER,4.5 ,50,Desserts,Dahisar,not_available,not_available
Lady The Leaf,3.9 ,51,"Continental, Salads, Grill, Juices, Beverages",Malad West,125,25
DYNAMIC CAKE,51 mins,,Bakery,Jog Gor East,not_available,not_available
Om Sai Dosa Center,40 mins,,South Indian,Kandivali East,not_available,not_available
Gravy and Savy,4.2 ,55,"North Indian, Indian",Kandivali W,not_available,not_available
Mithilanchal - Xpress Of Food Abode,2.3 ,51,"Indian, Seafood",KANDIVALI WEST,599,not_available
Dale's Eden - Gifting,47 mins,,"Desserts, Sweets",Malad Kan West,449,not_available
Subhanallah Chinese,4.7 ,56,Chinese,Malad West,not_available,not_available
Jalandharwala,4.6 ,41,"Indian, Snacks, Desserts",Borivali,not_available,not_available
Rolls & Many More,3.3 ,46,Burgers,Borivali,999,not_available
La pizza house,3.3 ,43,"Fast Food, Snacks, Pizzas, Maharashtrian",Dahisar west,not_available,not_available
Trunks & Leaves,4.1 ,46,"Chinese, Italian, Mexican, Indian, Kebabs, Tandoor, Biryani",Kandivali West,999,not_available
KOFU - Premium Artisanal Icecreams,3.6 ,41,Ice Cream,Jog Gor East,449,not_available
IceCream Cake City,4.2 ,45,"Bakery, Beverages",Malad Kan West,not_available,not_available
Oye Lucky Paratha,3.8 ,51,"Indian, Punjabi, Beverages",Malad West,not_available,not_available
Adventure Momo House,4.1 ,51,Chinese,Malad Kan West,not_available,not_available
Reuben Restrobar,4.2 ,59,"North Indian, Chinese, Italian, Snacks, Biryani, Desserts, Continental, Pizzas, Salads, Beverages, Mughlai",Malad Kan West,not_available,not_available
Wu Momos - Malad,3.8 ,49,"Chinese, Snacks",Malad Kan West,749,not_available
Aradhana Hotel,4.2 ,42,"South Indian, Indian",Malad Kan West,not_available,not_available
Trends,4.4 ,56,"Indian, Chinese",Malad West,not_available,not_available
Conscious Baking Project,3.5 ,42,"Bakery, Desserts",Jog Gor East,not_available,not_available
Paanjo Taste,4.3 ,43,"Pizzas, Fast Food",Borivali West,not_available,not_available
Bhor,4.6 ,61,Indian,Jog Gor West,not_available,not_available
Kung Fu,3.7 ,42,"Chinese, Pan-Asian, Continental, Asian",Kandivali West,249,not_available
Crust & Buns,4.1 ,51,"Pizzas, Fast Food, Italian, Salads",Borivali West,999,not_available
Kababi Nation,4.4 ,59,"Indian, Chinese, Tandoor, Biryani",Borivali,not_available,not_available
Deepak Chinese Corner,60 mins,,Chinese,Malad Kan West,700,20
Tight House,4 ,59,"Pizzas, Chinese, Indian, Beverages, Biryani",Borivali West,not_available,not_available
Chulha  Sardari,4.6 ,45,"North Indian, Punjabi, Biryani, Chinese, Indian",Borivali West,not_available,not_available
Yo Social Cafe,61 mins,,"Indian, North Indian, Chinese, Biryani, Pastas, Snacks",Malad Kan West,not_available,not_available
Curry N Fry,4.1 ,52,"Biryani, Chinese, Tandoor, North Indian",Malad East,449,not_available
Hot Grill,43 mins,,"North Indian, Biryani",Dahisar,not_available,not_available
CBC Chinese By Choice,3.8 ,50,"Chinese, Thai, Asian, Beverages",Malad Kan East,150,30
The Little Cakery,3.3 ,52,"Bakery, Desserts",Jog Gor East,not_available,not_available
Shree Shankar Vilas Juice Centre,41 mins,,Beverages,Dahisar,not_available,not_available
Salads@169,4.3 ,52,Salads,Malad Kan West,125,25
Chavdar Thamba,48 mins,,"Indian, Thalis",Mira Road,499,not_available
Joker Joe s pizza,4 ,61,"Italian, Beverages",Jog Gor East ,999,not_available
Sandwich And Frankey House,53 mins,,"Fast Food, Snacks, Italian-American, Beverages",Jog Gor East,not_available,not_available
Marve Bakery,48 mins,,"North Indian, Chaat",Malad Kan West,not_available,not_available
Idaily - Idli Daily,51 mins,,"South Indian, Snacks, Indian, Beverages",Malad Kan West,not_available,not_available
Grow More Snacks(Maitri Amruttulya),46 mins,,Beverages,Malad Kan West,not_available,not_available
Mudras,3.8 ,43,"Pizzas, Fast Food, Beverages, Indian",Borivali,not_available,not_available
Sunday The Comfort Kitchen,5 ,46,"Chinese, Continental, Indian, Goan, Italian, Salads",Borivali,not_available,not_available
Shivansh Kitchen,4.8 ,66,"South Indian, Beverages, Snacks",Kandivali West,not_available,not_available
The Live Cake Shop,4.2 ,47,Desserts,Kandivali West,not_available,not_available
Rasoi kamaal,4.2 ,54,"Malwani, Chinese, North Indian",Goregaon,700,20
Masterji - Surati Anda Gotala,4.3 ,45,"Indian, Gujarati",Borivali,not_available,not_available
Momos & Waffle Cafe,3.8 ,51,"Chinese, Kebabs",Borivali,150,30
AADI GRAND RESTAURANT,46 mins,,Indian,Borivali,not_available,not_available
Brahmi-The Veg Bistro,3.5 ,40,"Biryani, Indian, Chinese, Beverages",Malad East,449,not_available
Namaste Borivali,4.3 ,41,"Snacks, Beverages",Borivali,999,not_available
Chaska Corner,47 mins,,Biryani,Malad Kan West,999,not_available
Dharma Sandwich,2.6 ,53,Fast Food,Malad Kan East,not_available,not_available
Manojs Ice Cream,4.7 ,42,Ice Cream,Kandivali West,not_available,not_available
Food Lover Point,3.5 ,52,Indian,Goregaon,not_available,not_available
Shiv Shakti,3.6 ,51,North Indian,Borivali West,1000,10
Suyog Dining Bar,4.6 ,41,"Indian, Chinese",Dahisar,not_available,not_available
81 Olives,3.4 ,45,Pizzas,Borivali,not_available,not_available
Remi'S Kitchen,5 ,41,"Jain, Chinese, Tibetan",Malad Kan East,not_available,not_available
Aqua Dhaba,47 mins,,"Indian, Chinese, Biryani",Dahisar,120,20
Healthy Shawarma,3.6 ,40,Arabian,Borivali,999,not_available
Oriv Resto - Cafe - Bar,4.3 ,56,"Chinese, Pizzas, Snacks, Pastas",Borivali,999,not_available
Delights,47 mins,,"Bakery, Desserts",Mira Road,not_available,not_available
Nagori tea and cold drinks shop,4.5 ,42,"Beverages, Snacks",Malad Kan West,749,not_available
Delhi Sweet & Bhelpuri House,3.7 ,46,"Snacks, Sweets, Chaat, Street Food",Malad West,not_available,not_available
Shri Sainath,4.8 ,46,"Chinese, Tandoor",Malad West,not_available,not_available
Backyard Beer Garden,50 mins,,Chinese,Dahisar,not_available,not_available
Donna's Pizza,4 ,43,Pizzas,Kandivali West,not_available,not_available
Gourmet Veg Burgers By Spukies,4.9 ,55,"Burgers, American, Beverages",Jog Gor East,not_available,not_available
Kabali,4.1 ,67,"Indian, Tandoor, Salads",Malad Kan West,999,not_available
Gossip Corner,4.4 ,46,"Continental, Italian",Borivali West,999,not_available
Rajdhani Caterers,2.4 ,53,Indian,Dahisar West,not_available,not_available
Dave's Dal Dhokli,4.7 ,60,"Gujarati, Rajasthani, Maharashtrian",Dahisar West,not_available,not_available
Plate - It,4 ,62,"Biryani, Italian",Borivali,499,not_available
Squares Pizza and Cafe,4.3 ,52,"Italian, Pizzas",Malad West,not_available,not_available
Sriya chinese Restaurant,3.5 ,46,"Chinese, North Indian, Indian, Beverages",Kandivali West,600,25
Shanghai Chinese Pure Veg,3.8 ,51,Chinese,Dahisar East,999,not_available
Jumboking Indain Burger,4 ,46,"Burgers, Snacks, Beverages",Malad Kan West,449,not_available
Annalaxmi Snacks ,3.9 ,52,"Chinese, South Indian, Tandoor, Arabian, Fast Food",Jog Gor East,1000,20
M/S. Aslam Chicken,3.4 ,47,"North Indian, Kebabs, Desserts",Mira Road,not_available,not_available
Dharmu's Snacks Corner,4.2 ,50,"Snacks, Maharashtrian",Borivali,not_available,not_available
Aaradhya Super Restaurant,30 mins,,Beverages,Malad Kan East,not_available,not_available
New Cake Place,32 mins,,Bakery,Borivali,not_available,not_available
Bounty The Cake Stop,4.1 ,32,"Bakery, Desserts",Borivali,not_available,not_available
SHRINATH SWEETS AND SNACKS,27 mins,,Sweets,Borivali,not_available,not_available
Bombay Blues Icecream,32 mins,,"Ice Cream, Desserts, Sweets",Borivali,not_available,not_available
SHREE  GANESH SWEET SHOP,32 mins,,"Beverages, Fast Food",Borivali,not_available,not_available
Shreeji Fast Food And juice Center,32 mins,,"Beverages, Burgers, South Indian, Fast Food, Pizzas, Chinese, Indian, Snacks",Borivali,125,25
Munchies's Thakur Complex,3.7 ,33,"Beverages, Italian",Malad Kan East,150,30
Vrindavan Fine Foods,30 mins,,"Sweets, Desserts",Malad Kan East,not_available,not_available
Food Of Joy,33 mins,,"Italian-American, Fast Food, Chinese, Beverages",Malad Kan East,150,30
Bombay Tea,32 mins,,"Beverages, Desserts, Bakery",Borivali,not_available,not_available
Subday Thakur Complex,3.4 ,33,"Indian, Fast Food, Beverages",Malad Kan East,150,30
King of juices thakur complex,3.7 ,33,Juices,Malad Kan East,150,30
Tittaas,31 mins,,"Beverages, Ice Cream, Desserts",Borivali,65,25
I Am Foodie,32 mins,,"Fast Food, Snacks, Indian",Borivali,499,not_available
Shree Narayan Fine Dinning,3.4 ,33,"South Indian, North Indian, Chinese, Malwani, Tandoor",Borivali,not_available,not_available
Delightful Meals,27 mins,,"Indian, Snacks, Thalis","Kandivali East, Thakur Village",not_available,not_available
Bhukkad Thali & Combo,4.4 ,27,"Thalis, Chinese, North Indian",Malad Kan East,120,60
