hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
Bistro & Brew,5 ,42,"Italian-American, Fast Food, Snacks, Beverages",Kandivali East,75,30
Tude - Premium Ice Creams,4 ,35,"Desserts, Beverages",Kandivali West,not_available,not_available
Saarathi Restaurant And Bar,3.3 ,36,"Tandoor, Chinese, North Indian, Fast Food",Malad Kan East,100,20
Ambika Vijay Stores,34 mins,,Sweets,Dahisar,not_available,not_available
Evening Smackers,35 mins,,"Fast Food, Pizzas, Snacks",Borivali,not_available,not_available
Oh Indian,34 mins,,"Kebabs, Indian",Kandivali West,not_available,not_available
Avantika Chennai Cafe,35 mins,,"South Indian, Beverages",Borivali,not_available,not_available
"Deepak Sweets, Farsan & Dry Fruits",37 mins,,"Desserts, Snacks",Borivali,not_available,not_available
Chatisfied,2.3 ,35,"Snacks, Street Food, Beverages",Borivali,not_available,not_available
Bangg On Bakes,35 mins,,"Bakery, Cakes and Pastries, Desserts",Malad Kan West,500,25
Khaugalli bahuballi,35 mins,,South Indian,Malad Kan West,not_available,not_available
Mumbai Chinese Point,3.3 ,36,Chinese,Kandivali East,159,20
The Royal Surprise,38 mins,,Bakery,Malad Kan East,not_available,not_available
Asha Restaurant  Chaitanya Restaurant,3.7 ,36,"Indian, Tandoor, Seafood",BORIVALI,not_available,not_available
Lal Tadka,3.5 ,36,"North Indian, Asian, Italian, Beverages",Mahavir Nagar,not_available,not_available
Anand dairy farm,4 ,36,"Snacks, Desserts",Borivali,not_available,not_available
Thaliwaala,34 mins,,"Indian, Thalis, Snacks",Malad Kan East,not_available,not_available
Geebees Appetites,4 ,34,"North Indian, Chinese, Tibetan",Kandivali East,not_available,not_available
Roti and Grill Catering,34 mins,,Indian,Malad Kan East,50,20
Aaurum Family Restaurant And Bar,4 ,34,"North Indian, Tandoor, Chinese, Snacks",Borivali,not_available,not_available
Shawarma Shark,35 mins,,"Chinese, Indian, Pizzas, Burgers",Malad Kan West,not_available,not_available
Half Plate Chinese,3.8 ,34,"Chinese, Street Food",Borivali,not_available,not_available
Bitchy Burgers,34 mins,,"American, Snacks",Kandivali West,not_available,not_available
The Heavens Cake Shop,4.1 ,39,Bakery,Malad Kan East,not_available,not_available
Shital's Kitchen,34 mins,,"Fast Food, Thalis",Borivali,not_available,not_available
B K C Kitchen,3.4 ,34,"Indian, Chinese",Borivali,not_available,not_available
Manoj dosa,2.3 ,36,South Indian,Borivali,not_available,not_available
Bytes Momos,35 mins,,Chinese,Borivali,not_available,not_available
S.V. Kitchen,39 mins,,North Indian,Malad kan east,not_available,not_available
JAYASHREE MISAL & SNACKS (JMS),34 mins,,"Indian, Snacks",Kandivali West,not_available,not_available
Krem Icecreams,34 mins,,Ice Cream,Borivali,249,not_available
Tummy Time,35 mins,,Indian,Borivali,not_available,not_available
Cheese leela,36 mins,,"Fast Food, Burgers, Pizzas, Snacks, Salads",Borivali,350,10
Flavour stones,4.6 ,31,Ice Cream,Borivali West,not_available,not_available
Best Canteen,32 mins,,Indian,Borivali,not_available,not_available
Chow By Mexichino,3.8 ,32,Chinese,Borivali,not_available,not_available
Fusion Ice Cream House,4.9 ,29,"Bakery, Desserts, Ice Cream",Kandivali West,999,not_available
Finom Cake Stop,3.4 ,31,Bakery,Borivali,1000,15
Hirral Z Sweet Treats9,32 mins,,"Bakery, Desserts",Borivali,not_available,not_available
High on Cafe,41 mins,,"Indian, Juices, Beverages",Malad Kan East,not_available,not_available
Bombay Bytes,3.9 ,41,Indian,Borivali West,not_available,not_available
Brishti chinese and lunch home,3.1 ,40,Indian,Kandivali East,not_available,not_available
Panchayat - The Kulhad Cafe,4.4 ,40,"Indian, Italian, Beverages",Borivali West,not_available,not_available
Chowrangee Cafe,4.3 ,41,"Chinese, Bengali, Fast Food",Malad Kan East,40,10
Fast Food Carnival,41 mins,,"Pizzas, Beverages, Burgers, Pastas, Barbecue",Malad Kan East,not_available,not_available
Ignite Pan Shop And General Store,4.4 ,42,Paan,Borivali,120,20
Jai Ambe Fast Food,53 mins,,"Fast Food, Pizzas, Waffle, Snacks, Beverages",Borivali,not_available,not_available
MMD Cafe Village,26 mins,,"Beverages, Pizzas, Fast Food, Chinese, Italian",Malad Kan East,not_available,not_available
Khao piyo junction,25 mins,,"Chinese, Indian, Malwani, Biryani",Malad Kan East,not_available,not_available
Flavour Fushion,27 mins,,Burgers,Malad Kan East,159,40
The Bun Bites,29 mins,,"Bakery, Desserts",Malad Kan West,120,20
Mumbai Cake Company,23 mins,,"Bakery, Desserts",Malad Kan East,999,not_available
Mahakal Matka Kulfi,25 mins,,Beverages,Malad Kan West,not_available,not_available
THALIVERY FOOD,26 mins,,"Indian, Snacks, Fast Food",Malad Kan East,not_available,not_available
Baithak - Taste of Kulhad,31 mins,,"Beverages, Italian-American, Fast Food, Chinese, Snacks","Thakur Village, Kandivali (East)",not_available,not_available
Biryani Daawat,4.1 ,30,"Biryani, Beverages, Indian",Malad Kan East,100,50
Rocky Rolls Cafe,4.2 ,24,"Fast Food, Snacks",Malad Kan East,not_available,not_available
Starwar Pizza,4.4 ,26,"Chinese, Italian, Burgers, Pizzas, Desserts, Pastas",Malad Kan East,100,50
Reena's Parathas,26 mins,,"Indian, Italian",Malad Kan East,150,30
Delicious Cake Shop,28 mins,,"Bakery, Desserts",Malad Kan East,40,10
Madhurika's Kitchen,3.5 ,27,"North Indian, South Indian, Snacks, Beverages",Malad Kan East,999,not_available
Veg Pizza-2X Topping,26 mins,,Indian,Malad Kan East,100,50
Tuk Tuk,25 mins,,"Chinese, Fast Food",Malad Kan East,not_available,not_available
Foodys guys,26 mins,,"Indian, Chinese, Mughlai, Tandoor, Arabian, Biryani",Malad Kan East,not_available,not_available
MOGO Pizza,4.4 ,24,"Pizzas, Burgers, Chinese, Desserts, Pastas, Italian",Kandivali East,100,50
Oven Bake Pizza,24 mins,,Pizzas,Malad Kan East,100,50
Hotel Sheetal Picnic,2.8 ,27,"North Indian, Thalis, Biryani",Borivali East,not_available,not_available
Baskin Robbins Food Court,25 mins,,Ice Cream,Malad Kan East,not_available,not_available
Om Sai Sandwich Corner,4.5 ,26,"Fast Food, Pizzas",Malad Kan East,not_available,not_available
Quenchers By Uk,24 mins,,"Bakery, Desserts, Indian",Malad Kan East,not_available,not_available
Maa Sita Rasoi,25 mins,,Indian,Malad Kan East,not_available,not_available
All Seasons Kitchen and Bar,3.9 ,30,"North Indian, Chinese, Biryani, Tandoor, Thai, Chaat, Indian, Desserts",Borivali,not_available,not_available
Meethi Elaichi,5 ,25,"Desserts, Sweets, Beverages",Malad Kan East,150,30
Nityanand Chinese,30 mins,,"Indian, Chinese",Malad Kan East,not_available,not_available
Green Dot Momos,36 mins,,"Asian, Tibetan, Desserts, Beverages",Borivali,249,not_available
Happy Da Paratha,2.7 ,41,Indian,Rawal Pada,not_available,not_available
Purple Foods,4.2 ,49,"Indian, Tandoor, Biryani, Desserts, Beverages",Malad East,599,not_available
Masterchef Kitchen,3.5 ,44,"Chinese, Asian, Thai",Malad Kan East,150,30
Flavours Of Biryani,3.4 ,49,"Biryani, Tandoor, Kebabs",Malad Kan West,not_available,not_available
Egg Free Cakes,49 mins,,"Bakery, Desserts",Mira Road,not_available,not_available
Celebration Special by CakeZone,3.7 ,41,"Bakery, Desserts",L T Road Junction,699,not_available
Spicy Chicken,53 mins,,North Indian,Malad Kan West,not_available,not_available
The J's Pizza,41 mins,,"Pizzas, Pastas",Rawal Pada,not_available,not_available
Fud Boy,51 mins,,"Biryani, Indian, Kebabs, Beverages",Malad Kan West,150,30
Momoya,41 mins,,Chinese,Rawal Pada,not_available,not_available
Wandercrust,3.9 ,49,"Pizzas, Italian",Goregaon East,120,25
Swaad Snacks and Namkeen,4.4 ,37,Indian,Borivali,not_available,not_available
Lucky chinese center,39 mins,,Chinese,Dahisar,not_available,not_available
Das Chilly Chinese,39 mins,,Chinese,Dahisar,not_available,not_available
Raja Vada Pav Goregaon Wala,3.9 ,37,"Snacks, Fast Food",Borivali,not_available,not_available
Sandy's Thick Shake,2.4 ,37,"Desserts, Beverages",Borivali,not_available,not_available
hotel shri krishna,37 mins,,"South Indian, North Indian, Chinese, Beverages, Snacks",Borivali,not_available,not_available
Hem-The Cake Shop,3.6 ,39,Desserts,Kandivali West,not_available,not_available
Zero Gravity ( Boriwali ),2.6 ,39,Indian,Borivali,not_available,not_available
The Pastelworks Co. Malad,3.9 ,38,Bakery,Malad East,150,30
Kulchizza Factory,37 mins,,"North Indian, Chinese, Fast Food",Borivali,not_available,not_available
GURU KRUPA JUICE CENTER,38 mins,,"Beverages, Juices",Borivali,not_available,not_available
Indocafe,2.8 ,37,"Continental, Mexican, Italian, Desserts, Beverages",Borivali,not_available,not_available
Cafe Bahar Restaurant,3.8 ,38,"Biryani, Arabian, Chinese, North Indian",Malad Kan East,not_available,not_available
The Pavilion Bar And Resturant,4.1 ,39,"North Indian, Biryani, Seafood, Chinese, Tandoor, Kebabs",ajanta shoping center,not_available,not_available
Twist and Taste,39 mins,,"Chinese, Snacks",Borivali,not_available,not_available
My Choice Franky House,3.7 ,39,Fast Food,Malad Kan West,not_available,not_available
The Chocolate Chips,4.4 ,34,Indian,Borivali,not_available,not_available
Saucy Pasta Cartel,37 mins,,Pastas,Borivali,not_available,not_available
Momos 8849,37 mins,,Fast Food,Borivali,not_available,not_available
Veg Curries Of India,4.5 ,37,"North Indian, Chinese, Street Food, Mughlai, Tandoor, Kebabs, Punjabi, Biryani, Snacks",Borivali,not_available,not_available
Chef De Partie,34 mins,,"Bakery, Beverages, Desserts",Dahisar,not_available,not_available
Bolbol Burgers,4.2 ,39,"Indian, Snacks, North Indian",Borivali West,not_available,not_available
Buns & Deluchas,34 mins,,"Bakery, Desserts",Borivali,not_available,not_available
BHURAJI SANDWICH,38 mins,,"Fast Food, Snacks",Malad Kan West,not_available,not_available
Hidden Spot Cafe & Resto,39 mins,,Pizzas,Borivali,not_available,not_available
Thick Shakes Magic- CAD B,37 mins,,Indian,Dahisar,150,30
Ekdum Biryani,3.9 ,39,"Biryani, North Indian, Mughlai, Tandoor, Kebabs",Kandivali West,700,20
Chaap Central by Punjabi Grill Dhaba,3.6 ,38,Indian,Malad Kan West,not_available,not_available
Vicky Chinese,37 mins,,Chinese,Dahisar,not_available,not_available
Kokan Chinese Corner,36 mins,,"Chinese, Snacks",Malad Kan West,not_available,not_available
Noor Chinese and tandoor,38 mins,,Chinese,Borivali,not_available,not_available
Shree Samarth Malvani Food'S,38 mins,,"North Indian, Indian",Borivali,not_available,not_available
Chavishtha Ventures Llp,4.1 ,38,"Indian, Seafood, Snacks",Dahisar,not_available,not_available
D Sandwicha & snakes corner,37 mins,,"Italian, Pizzas, Snacks",Dahisar,not_available,not_available
Kulfi Bite,34 mins,,Indian,Malad Kan West,not_available,not_available
Gladmad Pizza,4 ,39,"Italian-American, Pizzas, Beverages",Borivali,not_available,not_available
The Elegant Spatula-Creative Cakes n Cookies,39 mins,,Bakery,Borivali,not_available,not_available
Navkar Mart,38 mins,,"Snacks, Gujarati",Kandivali west,749,not_available
Kings Corner,3.4 ,38,Chinese,Dahisar East,not_available,not_available
Miss U Cake N Bake,38 mins,,"Bakery, Jain",Malad Kan East,not_available,not_available
Radha Krishna Pav Bhaji,37 mins,,Indian,Borivali,not_available,not_available
Shree Mahalaxmi Fast Food & Juice Center,36 mins,,"Chaat, Fast Food",Borivali,not_available,not_available
Gobble Up,38 mins,,"Fast Food, Snacks, Chinese",Borivali,not_available,not_available
Shakeoty,3.9 ,37,Beverages,Borivali West,999,not_available
Samarth Krupa Chinese Corner Tifin Service,39 mins,,"North Indian, Chinese",Dahisar,not_available,not_available
The Yellow Tadka,38 mins,,"Indian, Chinese, Street Food, Thalis, Biryani, Tandoor",Borivali West,not_available,not_available
Sainath Hotel,2.8 ,39,"Chinese, North Indian, South Indian",Dahisar,not_available,not_available
The Indian Gourmet Kitchen,4.7 ,39,"Indian, Mughlai",Malad Kan East,100,50
Tea Pea Cafe Borivali(W),4.5 ,55,"Indian, Fast Food, Italian-American, Snacks, Waffle",Borivali West,not_available,not_available
Aromas Bingee,4.3 ,44,"South Indian, Chinese, Fast Food",LOKMANYA LIBRARY,999,not_available
ShreeG,3.3 ,45,Chinese,Dahisar,not_available,not_available
Delicious Chinese Cuisine,2.1 ,40,Chinese,Dahisar,not_available,not_available
Gupta Juice And Sandwich,44 mins,,"Juices, Fast Food, Beverages, Snacks, Pastas",Borivali,not_available,not_available
Ice Cream Cake Factory,3.7 ,47,Ice Cream Cakes,Malad West,999,not_available
Italiiano,47 mins,,"Pizzas, Mexican, Italian, Pastas, Burgers",Jog Gor East,not_available,not_available
Le Quatre,3.2 ,51,"Desserts, Bakery, Snacks",anupama anand nagar,not_available,not_available
Ami Ice-Cream,45 mins,,Desserts,Malad Kan West,not_available,not_available
Eat Cake Love,40 mins,,Bakery,Malad Kan West,not_available,not_available
Sai Rameshwar,40 mins,,Chinese,Borivali,not_available,not_available
Jodhana Zaika,46 mins,,"Chinese, Indian, Beverages",Borivali,not_available,not_available
Shree Krishna Family Restaurant & Bar,46 mins,,"Indian, Chinese, Biryani",Dahisar East,not_available,not_available
Hunger's Food,2.8 ,40,Chinese,Borivali,not_available,not_available
Billy's Burgers,4.4 ,51,"Fast Food, Desserts, Beverages",Malad West,not_available,not_available
Ambrosia Cakes Bakes and Snacks,3.9 ,43,"Bakery, Snacks, Desserts, Continental",Kandivali West,800,20
Aarti'S Food Magic,48 mins,,"Indian, Biryani, Beverages",CSR COMPLEX BUILDING NO 14 FLAT NO 201,not_available,not_available
Sv Food Hub,3.9 ,42,"Pizzas, Desserts",Malad East,not_available,not_available
Momo Dynasty,45 mins,,Chinese,Borivali,not_available,not_available
Quest,4.4 ,41,"North Indian, Chinese, Continental, Oriental, Desserts",Borivali,not_available,not_available
Nutrii Chef,3.6 ,47,"Salads, Healthy Food",Malad Kan West,125,25
Fresh Rasoi,57 mins,,"Indian, Chinese, Beverages, Desserts, Biryani",Malad Kan West,not_available,not_available
Chinese & Momos Express,4.5 ,49,"Chinese, Combo",Malad Kan East,200,40
Borivali Healthy Juices,53 mins,,"Juices, Beverages, Fast Food, Snacks, Pastas",Borivali,not_available,not_available
Me Chinese!,59 mins,,"Chinese, Thai, Arabian",Malad East,200,40
Ram'S Radhe Krishna Cafe,52 mins,,South Indian,Malad Kan West,not_available,not_available
Umesh sandwich,40 mins,,Fast Food,Borivali,not_available,not_available
Svvad Kitchen,40 mins,,"Chinese, Pastas, Snacks",Borivali,not_available,not_available
Chinese Walla,43 mins,,Indian,Borivali,not_available,not_available
Mozzarella Pizza Hub,4 ,44,"Pizzas, Snacks, Italian",Malad East,not_available,not_available
Sai Jee Amruttulya & Snacks,52 mins,,Chinese,Malad Kan West,120,20
Festive The Cake Shop,4.1 ,43,Desserts,Malad East,not_available,not_available
Sai Darbar Hotel,47 mins,,"Chinese, Indian, Biryani",Dahisar,not_available,not_available
Big Bro'S Pizza,43 mins,,"Pizzas, Burgers, Chinese, Snacks",Malad Kan East,not_available,not_available
The Waffle Box,4 ,70,Waffle,Malad Kan West,999,not_available
Bakewills Boulangerie And Cafe,45 mins,,"Fast Food, Chinese, Burgers",Borivali east,not_available,not_available
Gopi Breakfast Point,43 mins,,"Chinese, Beverages, Bakery",Borivali,700,20
Warm Baker s World,44 mins,,Bakery,Borivali West,not_available,not_available
Secret Multicuisine Restaurant,3.6 ,47,"North Indian, Chinese, Biryani, Mughlai, Punjabi, Seafood, Beverages",Mira Road,not_available,not_available
P Hand Coffee,46 mins,,"Beverages, Pizzas, South Indian",Malad Kan West,not_available,not_available
Hunger Tea Cafe,46 mins,,"Beverages, Snacks, Fast Food, Pizzas, Desserts",Borivali,not_available,not_available
Raccoon kitchen,4.9 ,48,"North Indian, Indian, Biryani",Malad Kan East,not_available,not_available
Red yellow restaurant,55 mins,,"North Indian, Chinese, Biryani",Jog Gor East,not_available,not_available
Mahesh Fine Dine,3.5 ,45,"Indian, Fast Food",Borivali,not_available,not_available
Fizzy,4.2 ,43,"Snacks, Beverages",Borivali,not_available,not_available
Western Burger,51 mins,,"Chinese, Burgers, Pizzas",Malad Kan West,not_available,not_available
J3Pizzaa,3.8 ,54,"Italian, Pizzas",Jog Gor East,not_available,not_available
Miami Waffles & Jawbreakers,4 ,48,"Waffle, Desserts, Beverages",Malad West,449,not_available
Chaat Pat Snackks,5 ,43,"Snacks, Fast Food, Chinese, Beverages",Malad Kan East,not_available,not_available
Fast Food And Beverage's,49 mins,,"Beverages, Snacks, Pizzas, Fast Food",Malad Kan West,not_available,not_available
12th Pass Coffee And Tea,47 mins,,"Beverages, Chinese, Burgers",Malad Kan West,not_available,not_available
Aranyam Fine Dine & Bar,63 mins,,"North Indian, Chinese, Biryani",Goregaon East,449,not_available
Quick Kukkad,4.7 ,40,"Snacks, Kebabs, Tandoor",Borivali,100,20
Veganiza,5 ,45,"Snacks, Pastas",Malad East,not_available,not_available
Rashmin Patisserie & Savory,40 mins,,"Bakery, Desserts",Malad Kan East,not_available,not_available
Red Dots,2.9 ,55,"North Indian, Chinese, Biryani",Jog Gor East,not_available,not_available
Tanisha Dry Fruits,52 mins,,Indian,Malad Kan West,not_available,not_available
Cooper's Home Kitchen,51 mins,,"Biryani, South Indian, Continental, Chinese",Malad Kan West,not_available,not_available
Cooper's Bakery,50 mins,,"Bakery, Fast Food, Snacks",Malad Kan West,not_available,not_available
Steam 99,60 mins,,"Chinese, Fast Food, Beverages",Jog Gor East,not_available,not_available
2? Cakes,52 mins,,Bakery,Jog Gor East,not_available,not_available
Frosting the cake shop,42 mins,,Bakery,Malad Kan East,not_available,not_available
Shree Krishnas Kitchen,42 mins,,"North Indian, Indian",Dahisar,100,15
Dim Shi,3.7 ,54,"Asian, Chinese",Borivali,not_available,not_available
7 Layers,42 mins,,Bakery,Malad Kan West,not_available,not_available
Dreams & Beans Coffee,49 mins,,Beverages,Malad Kan West,not_available,not_available
Jain Dugdhaly,42 mins,,"Bakery, Sweets",Malad Kan East,not_available,not_available
Chow Mi Adda Chinese And Momos Corner,51 mins,,"Chinese, Thai, Asian",Malad Kan West,not_available,not_available
D'aromas Coffee,49 mins,,Beverages,Malad West,499,not_available
Forks & Spoons,42 mins,,"Pizzas, Chinese, Pastas, Beverages, Fast Food, Burgers",Malad Kan East,not_available,not_available
Vishal Chinese Corner,40 mins,,Chinese,Malad Kan East,not_available,not_available
Dessert 99,44 mins,,"Waffle, Desserts, Beverages",Borivali,not_available,not_available
Gosssip Corner - Cafe Resto,46 mins,,Indian,Dahisar,not_available,not_available
Havmor Ice Cream Parlour,47 mins,,Ice Cream,Borivali,not_available,not_available
The Spice Of Mumbai,3.3 ,63,"North Indian, Chinese",Malad West,not_available,not_available
Brijwasi Mart,2.8 ,55,"Waffle, Desserts, Snacks, Beverages",Mira Road,749,not_available
Caky Bakey,42 mins,,Bakery,Borivali,499,not_available
Gully Dosa,3.9 ,51,"South Indian, Street Food",Jog Gor West,not_available,not_available
Kadam Bandhu,41 mins,,Fast Food,Dahisar,not_available,not_available
King Bhujing Biryani Corner,4.3 ,42,"Biryani, North Indian",Borivali,not_available,not_available
Pizza Rride,4.1 ,44,"Pizzas, Continental",Malad East,not_available,not_available
R.K Food Hub,4.5 ,43,"Fast Food, Chinese, Snacks, Beverages",Borivali,not_available,not_available
Biryani And Spice,4.9 ,47,"Biryani, Mughlai, North Indian",Malad Kan West,749,not_available
Quarter Castle Resto Bar,3.8 ,51,"Continental, Chinese, Indian, Beverages",Malad West,not_available,not_available
Tandoor Tribes,3.1 ,40,"Snacks, Tandoor",Borivali,not_available,not_available
Sunik Foodland,42 mins,,"Desserts, Sweets, Snacks, Pizzas","Kandivali, Malad East",not_available,not_available
Biryani Flavours,3.7 ,46,"Biryani, Snacks, Kebabs, Sweets",Malad Kan East,not_available,not_available
Vadapav And More,2.2 ,55,"Indian, Snacks, Chaat, Juices, Desserts",Malad West,300,not_available
Exotic Baristo,47 mins,,"Beverages, Pizzas, Fast Food, Snacks",Dahisar,not_available,not_available
Goregaon Kitchen,2.9 ,43,"Chinese, Snacks, Arabian, Combo",Malad Kan East,150,30
Ashley Kitchen,4.3 ,47,"Indian, Chinese, Biryani",Malad Kan West,599,not_available
Maa Ashapura Food & Snacks,3.2 ,52,"Indian, Snacks",Malad Kan West,not_available,not_available
Aum Fine Dine,3.6 ,48,Indian,Kandivali West,not_available,not_available
Flavour Junction,3.8 ,44,"Chinese, North Indian, Snacks",Dahisar,not_available,not_available
Swadisht Desi Food,46 mins,,"Burgers, Chinese",Borivali,not_available,not_available
BONG MOYRA,3.3 ,43,"Sweets, Bengali",Borivali,not_available,not_available
Spice Hut Veg And Non Veg,2.4 ,41,"Chinese, North Indian, Biryani",Dahisar,not_available,not_available
Divine Chinese,4.3 ,48,Chinese,Malad West,not_available,not_available
Asian Express,4 ,53,"Chinese, Biryani",Jog Gor East,999,not_available
Cheesy Kulhad,52 mins,,"Pizzas, Fast Food",Malad Kan West,not_available,not_available
DSF Fast Food,4.9 ,45,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American",Kandivali West,not_available,not_available
Jai Shree Radhe Krishna Soda Pub,3.8 ,42,Beverages,Kandivali West,not_available,not_available
Tea Pea Cafe,45 mins,,"Beverages, Italian-American, Fast Food, Snacks, Waffle",Malad Kan East,not_available,not_available
Uncle Chinese Corner,44 mins,,"Indian, Fast Food",Malad Kan West,not_available,not_available
Flavorish The Gourmet Cake Shop,48 mins,,Bakery,Goregaon East,250,50
Peek and boo,52 mins,,"Snacks, Fast Food",Malad Kan West,not_available,not_available
Delecious The Family Restaurant,41 mins,,"Indian, Chinese", Malad West,not_available,not_available
Jaianti Biryani,3.7 ,57,"Biryani, North Indian, Salads, Hyderabadi",Borivali,150,30
Hunger bell,52 mins,,"Snacks, Chinese, Tandoor, North Indian",Malad Kan West,not_available,not_available
Damdaar Swaad,4.3 ,49,"Italian-American, Fast Food, Snacks, Indian",Jog Gor West,not_available,not_available
Secret Sauce Sandwiches,3.3 ,42,"Pizzas, Snacks, Italian, Mexican",Borivali West,not_available,not_available
Chef Chini,52 mins,,"Chinese, Fast Food, Desserts, Beverages",Malad Kan West,not_available,not_available
All About Cheese,5 ,50,"Fast Food, Snacks, Pizzas",Malad Kan West,100,10
Size Zero,40 mins,,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30
Adarsh Refreshment,43 mins,,Beverages,Malad,not_available,not_available
Asian Tadka,3.4 ,55,"Indian, Tandoor, Thai, Chinese",Goregaon,not_available,not_available
JUICE BUDDY,40 mins,,Beverages,Borivali,not_available,not_available
Oh! Pizzaz,42 mins,,"Beverages, Snacks",Malad Kan West,not_available,not_available
Dairy Naturals,53 mins,,"Ice Cream, Desserts",Malad Kan West,not_available,not_available
High On Waffle,49 mins,,"North Indian, Bakery",Malad Kan West,not_available,not_available
Faloodah By Purple Foods,2.5 ,46,"Beverages, Desserts",Malad,not_available,not_available
The Noisy Cake,4.4 ,64,Bakery,Jog Gor East,not_available,not_available
Bombay Shakers,50 mins,,Beverages,Malad Kan West,not_available,not_available
Sliders Bell,4.4 ,42,"Snacks, Beverages",Borivali West,not_available,not_available
Matoshree Chinese & Fast Food,4 ,61,Chinese,Malad Kan West,not_available,not_available
Navaratna Kitchen & Bar,46 mins,,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20
Upperdeck Bistro,4.2 ,45,"Beverages, Burgers, Pastas, Snacks",Malad Kan West,100,10
Sweet Cakes & More,3 ,58,"Bakery, Desserts",Malad West,999,not_available
Meenakshi Bar And Restaurant,43 mins,,"Chinese, North Indian, Indian, Snacks",Jog Gor East,not_available,not_available
Bombar,4.8 ,56,"Italian, Chinese, Tandoor",Jog Gor West,not_available,not_available
Malvani Masala,2.8 ,62,"Indian, North Indian",Borivali,700,20
Ruchira's Food Hub,41 mins,,"Chinese, American",Borivali,not_available,not_available
Neelam Garden,41 mins,,"North Indian, Chinese, Biryani",Borivali,not_available,not_available
Angel Cake Shop,46 mins,,Bakery,Malad Kan East,not_available,not_available
Mogazm,5 ,50,"Snacks, Fast Food, Beverages",Malad Kan West,250,50
Marvish Home Kitchen,48 mins,,"Indian, North Indian",Jog Gor West,not_available,not_available
Munira's,44 mins,,Desserts,Dahisar West,not_available,not_available
Shivani Chinese And Pizza Corner,3.4 ,54,"Pizzas, Chinese, Fast Food",Malad Kan West,not_available,not_available
Raju Snacks,4.3 ,41,"Beverages, Burgers, Ice Cream",Borivali,not_available,not_available
Balaji Express,49 mins,,"South Indian, Beverages, Fast Food, Juices, Chaat",Jog Gor East,not_available,not_available
Conch Restaurants,57 mins,,"Asian, Continental, Chinese",Malad West,not_available,not_available
Vishal's fast food hub,48 mins,,Chinese,Jog Gor East,not_available,not_available
Shree's Frankie Rolls and More,46 mins,,"Snacks, Pizzas",Borivali,not_available,not_available
BEING BAKERS SHOP,48 mins,,Bakery,Mira Road,not_available,not_available
Zero Gravity,4.1 ,49,"Chinese, Continental, Fast Food, Italian",Gandhi Nagar,not_available,not_available
Naashta sweets and more,3.2 ,49,Indian,Jog Gor East,600,10
Kandivali 67 Chinese Corner,1.5 ,40,"Chinese, Biryani",Borivali,not_available,not_available
3 Barmen,5 ,61,"Chinese, North Indian",Malad West,not_available,not_available
Avarya,45 mins,,"Snacks, Desserts, Beverages",Mahim Dadar,not_available,not_available
Gharchi Athwan,42 mins,,"Maharashtrian, Snacks, Sweets",Borivali,not_available,not_available
BELLA FOOD CORNER,3.8 ,41,"North Indian, Chinese, Tandoor, Biryani, Snacks",Dahisar (E) Mumbai,not_available,not_available
The Malai Paneer Company,4.8 ,54,North Indian,Malad Kan West,not_available,not_available
Phelia Lounge,3.8 ,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas",Goregaon West,not_available,not_available
Shreeji Aamras,5 ,41,Beverages,Dahisar,749,not_available
Hungry Paji,49 mins,,"Chinese, Indian, Tandoor",Goregaon,100,10
The Bagve's cafe,52 mins,,Waffle,Jog Gor West,not_available,not_available
Beyond - Wine & Dine,4 ,56,"Continental, Mexican, Salads, Chinese, North Indian",Malad West,not_available,not_available
THE MINISTRY OF CHEFS,52 mins,,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor",Malad Kan West,not_available,not_available
Namaste Mumbai,46 mins,,"Chinese, Fast Food, Indian, Beverages",Malad Kan West,not_available,not_available
Party Time Pizzas,3.5 ,43,"Pizzas, Fast Food, Bakery, Desserts",Raheja Township,not_available,not_available
Crispy Slice Pizza,4.1 ,53,Pizzas,Goregaon,not_available,not_available
DBW De Burger World,50 mins,,"Burgers, Pizzas, Fast Food, Snacks, Beverages",Mira Road,not_available,not_available
Swadam Bhog,4.6 ,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani",Borivali West,not_available,not_available
Swadisht Desi,4.6 ,52,"Burgers, Pizzas, Chinese, Beverages",Malad Kan West,999,not_available
Latte on the rocks,52 mins,,"Beverages, Snacks, Fast Food",Malad West,not_available,not_available
Mondo Fine Dine,4.2 ,64,"Italian, Indian",Dahisar West,not_available,not_available
Lobo Tiffin Service,47 mins,,Indian,Malad Kan East,not_available,not_available
Red Chilly Chinese Cuisine,52 mins,,Indian,Malad Kan West,150,30
Tina's Fried Chicken,40 mins,,"Indian, Chinese",Borivali,not_available,not_available
Om Namo Fast Food,5 ,42,"Fast Food, Chaat",Borivali,not_available,not_available
Y.T kitchen,41 mins,,"Italian, Snacks, Mexican",Malad Kan East,not_available,not_available
Potoba Chinese Corner,3.7 ,41,"Chinese, Beverages",Dahisar,not_available,not_available
Jordan,4.7 ,41,Chinese,Malad West,not_available,not_available
